date,cumulative_pnl
2026-04-28,-543.2
2026-04-29,-529.7
2026-04-29,-517.1
2026-04-29,-499.1
2026-04-30,-482.0
2026-04-30,-468.5
2026-04-30,-451.4
2026-05-01,-437.0
2026-05-01,-424.4
2026-05-01,-413.6
2026-05-04,-398.3
2026-05-04,-379.4
2026-05-04,-368.6
2026-05-05,-350.6
2026-05-05,-339.8
2026-05-05,-329.0
2026-05-06,-315.5
2026-05-06,-296.6
2026-05-06,-278.6
2026-05-07,-265.1
2026-05-07,-247.1
2026-05-07,-238.1
2026-05-08,-222.8
2026-05-08,-203.9
2026-05-08,-185.9
2026-05-11,-169.7
2026-05-11,-152.6
2026-05-11,-134.6
2026-05-12,-116.6
2026-05-12,-103.1
2026-05-12,-87.8
2026-05-13,-74.3
2026-05-13,-56.3
2026-05-13,-46.4
2026-05-14,-31.1
2026-05-14,-13.1
2026-05-14,4.0
2026-05-15,22.0
2026-05-15,34.6
2026-05-15,51.7
2026-05-18,68.8
2026-05-18,85.9
2026-05-18,101.2
2026-05-19,121.9
2026-05-19,139.9
2026-05-19,157.0
2026-05-20,173.2
2026-05-20,188.5
2026-05-20,204.7
2026-05-21,221.8
2026-05-21,133.5
2026-05-21,151.5
2026-05-22,168.6
2026-05-22,183.0
2026-05-22,201.9
2026-05-22,220.8
2026-05-22,238.8
2026-05-22,240.6
2026-05-26,256.8
2026-05-26,268.5
2026-05-26,287.4
2026-05-27,304.5
2026-05-27,318.9
2026-05-27,331.5
2026-05-28,347.7
2026-05-28,366.6
2026-05-28,382.8
2026-05-29,399.9
2026-05-29,411.6
2026-05-29,429.6
2026-06-02,444.0
2026-06-02,460.2
2026-06-02,377.3
2026-06-03,393.5
2026-06-03,410.6
2026-06-03,321.4
2026-06-04,343.0
2026-06-04,358.3
2026-06-04,269.1
2026-06-05,185.3
2026-06-05,99.7
2026-06-05,15.0
2026-06-08,-68.8
2026-06-08,-151.7
2026-06-08,-233.7
2026-06-09,-319.3
2026-06-09,-425.9
2026-06-09,-481.4
2026-06-10,-565.2
2026-06-10,-650.8
2026-06-10,-740.0
2026-06-11,-827.4
2026-06-11,-916.6
2026-06-11,-1001.3
2026-06-12,-1083.3
2026-06-12,-1171.6
2026-06-12,-1253.6
2026-06-15,-1237.4
2026-06-15,-1218.5
2026-06-15,-1203.2
2026-06-16,-1187.0
2026-06-16,-1174.4
2026-06-16,-1160.9
2026-06-17,-1143.8
2026-06-17,-1126.7
2026-06-17,-1111.4
2026-06-18,-1094.3
2026-06-18,-1099.8
2026-06-18,-1081.8
2026-06-18,-1067.4
2026-06-18,-1049.4
2026-06-18,-1036.8
2026-06-22,-1019.7
2026-06-22,-1002.6
2026-06-22,-1090.9
2026-06-23,-1073.8
2026-06-23,-1156.7
2026-06-23,-1240.5
2026-06-24,-1226.1
2026-06-24,-1236.5
2026-06-24,-1224.8
2026-06-25,-1311.3
2026-06-25,-1394.2
2026-06-25,-1483.4
2026-06-29,-1469.0
2026-06-29,-1460.9
2026-06-29,-1445.6
2026-06-30,-1433.0
2026-06-30,-1428.5
2026-06-30,-1414.1
2026-07-01,-1399.7
2026-07-01,-1383.5
2026-07-01,-1368.2
2026-07-02,-1353.8
2026-07-02,-1346.6
2026-07-02,-1328.6
2026-07-02,-1313.3
2026-07-02,-1296.2
2026-07-02,-1301.7
2026-07-06,-1285.5
2026-07-06,-1281.0
2026-07-06,-1267.5
2026-07-07,-1254.0
2026-07-07,-1236.9
2026-07-07,-1223.4
2026-07-08,-1207.2
2026-07-08,-1300.9
2026-07-08,-1287.4
2026-07-09,-1274.8
2026-07-09,-1286.9
2026-07-09,-1269.8
2026-07-13,-1257.2
2026-07-13,-1241.9
2026-07-13,-1327.5
2026-07-14,-1320.3
2026-07-14,-1305.0
2026-07-14,-1305.0
2026-07-15,-1290.6
2026-07-15,-1283.4
2026-07-15,-1270.8
2026-07-16,-1263.6
2026-07-16,-1265.8
2026-07-16,-1248.7
2026-07-17,-1235.2
2026-07-17,-1219.0
2026-07-17,-1204.6
2026-07-20,-1187.5
2026-07-20,-1170.4
2026-07-20,-1154.2
2026-07-21,-1140.7
2026-07-21,-1134.4
2026-07-21,-1117.3
2026-07-22,-1099.3
2026-07-22,-1082.2
2026-07-22,-1075.0
2026-07-23,-1162.4
2026-07-23,-1145.3
2026-07-23,-1231.8
2026-07-24,-1215.6
2026-07-24,-1197.6
2026-07-24,-1184.1
2026-07-27,-1167.9
2026-07-27,-1152.6
2026-07-27,-1135.5
2026-07-28,-1120.2
2026-07-28,-1202.2
2026-07-28,-1285.1
2026-07-29,-1368.9
2026-07-29,-1458.1
2026-07-29,-1540.1
2026-07-30,-1523.9
2026-07-30,-1508.6
2026-07-30,-1615.2
2026-07-31,-1604.4
2026-07-31,-1586.4
2026-07-31,-1567.5
2026-08-03,-1551.3
2026-08-03,-1534.2
2026-08-03,-1520.7
2026-08-04,-1508.1
2026-08-04,-1496.4
2026-08-04,-1496.4
2026-08-05,-1480.2
2026-08-05,-1467.6
2026-08-05,-1453.2
2026-08-06,-1435.2
